ERCOT Hourly Imports and Exports (megawatt) by DC Tie Line
Hourly interchange data by DC tie line for ERCOT
Source: EIA collected from ERCOT
UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,"Comision Federal de Electricidad, Eagle Pass Net Export (MW)","Comision Federal de Electricidad, Laredo Net Export (MW)","Comision Federal de Electricidad, Railroad Net Export (MW)","Southwest Power Pool, East Net Export (MW)","Southwest Power Pool, North Net Export (MW)"
2023-01-01 06:09:52,2023-01-01 00:09:52,2023-01-01 00:09:52,2023-01-01,2,0.0,29.6,0.0,557.2724,118.900002
2023-01-01 07:09:52,2023-01-01 01:09:52,2023-01-01 01:09:52,2023-01-01,3,0.0,-0.5,0.0,557.2724,118.900002
2023-01-01 08:09:52,2023-01-01 02:09:52,2023-01-01 02:09:52,2023-01-01,4,0.0,0.0,0.0,557.2724,119.0
2023-01-01 09:09:52,2023-01-01 03:09:52,2023-01-01 03:09:52,2023-01-01,5,0.0,-0.5,0.0,557.2724,118.799995
2023-01-01 10:09:52,2023-01-01 04:09:52,2023-01-01 04:09:52,2023-01-01,6,0.0,-0.3,0.0,531.259644,118.799995
2023-01-01 11:09:52,2023-01-01 05:09:52,2023-01-01 05:09:52,2023-01-01,7,0.0,-0.5,-0.1,557.2724,0.0
2023-01-01 12:09:52,2023-01-01 06:09:52,2023-01-01 06:09:52,2023-01-01,8,0.0,0.1,0.0,600.293396,118.799995
2023-01-01 13:09:52,2023-01-01 07:09:52,2023-01-01 07:09:52,2023-01-01,9,0.0,-0.4,-0.1,607.296814,223.0
2023-01-01 14:09:52,2023-01-01 08:09:52,2023-01-01 08:09:52,2023-01-01,10,0.0,-0.2,0.0,608.297302,118.900002
2023-01-01 15:09:52,2023-01-01 09:09:52,2023-01-01 09:09:52,2023-01-01,11,0.0,-0.7,0.0,404.19754,118.699997
2023-01-01 16:09:52,2023-01-01 10:09:52,2023-01-01 10:09:52,2023-01-01,12,0.0,-0.6,0.0,608.297302,118.699997
2023-01-01 17:09:52,2023-01-01 11:09:52,2023-01-01 11:09:52,2023-01-01,13,0.0,-1.0,-0.1,394.192657,0.0
2023-01-01 18:09:52,2023-01-01 12:09:52,2023-01-01 12:09:52,2023-01-01,14,0.0,-0.4,0.0,253.123718,0.0
2023-01-01 19:09:52,2023-01-01 13:09:52,2023-01-01 13:09:52,2023-01-01,15,0.0,-0.5,0.0,608.297302,118.900002
2023-01-01 20:09:52,2023-01-01 14:09:52,2023-01-01 14:09:52,2023-01-01,16,0.0,-0.5,0.0,102.049881,0.0
2023-01-01 21:09:52,2023-01-01 15:09:52,2023-01-01 15:09:52,2023-01-01,17,0.0,-0.5,0.0,4.001956,0.0
2023-01-01 22:09:52,2023-01-01 16:09:52,2023-01-01 16:09:52,2023-01-01,18,0.0,-0.6,0.0,4.001956,0.0
2023-01-01 23:09:52,2023-01-01 17:09:52,2023-01-01 17:09:52,2023-01-01,19,0.0,-0.5,0.0,-178.087036,0.0
2023-01-02 00:09:52,2023-01-01 18:09:52,2023-01-01 18:09:52,2023-01-01,20,0.0,-0.5,0.0,-49.02396,0.0
2023-01-02 01:09:52,2023-01-01 19:09:52,2023-01-01 19:09:52,2023-01-01,21,0.0,29.6,0.0,-1.000489,0.0
2023-01-02 02:09:52,2023-01-01 20:09:52,2023-01-01 20:09:52,2023-01-01,22,0.0,59.799999,50.5,252.12323,0.0
2023-01-02 03:09:52,2023-01-01 21:09:52,2023-01-01 21:09:52,2023-01-01,23,0.0,60.099998,50.600002,231.112961,0.0
2023-01-02 04:09:52,2023-01-01 22:09:52,2023-01-01 22:09:52,2023-01-01,24,0.0,60.099998,50.5,430.210266,0.1
2023-01-02 05:09:52,2023-01-01 23:09:52,2023-01-01 23:09:52,2023-01-01,1,0.0,60.0,0.0,576.281677,0.0
2023-01-02 06:09:52,2023-01-02 00:09:52,2023-01-02 00:09:52,2023-01-02,2,0.0,100.099998,190.300003,421.205872,0.0
2023-01-02 07:09:52,2023-01-02 01:09:52,2023-01-02 01:09:52,2023-01-02,3,0.0,99.299995,115.300003,502.245483,221.599991
