ERCOT Total Solar Generation (MW),ERCOT Total Wind Generation (MW),Coastal Wind Generation (MW),North Wind Generation (MW),Panhandle Wind Generation (MW),South Wind Generation (MW),West Wind Generation (MW),Hour Ending,Year,Month,Day,Timestamp,Maximum energy deliverable before curtailment (MWh),Energy actually delivered (MWh),Curtailment (MWh),Price ($/MWh) at the nodal level in the Real Time market,TOTAL Actual Load (MW),SystemTotal Forecast Load (MW)
0.38,16735.78,120.3,1881.64,2395.53,331.65,12006.66,1,2023,1,22,1/22/2023 1:00,54.5,54.5,0,21.69,39644.14,41479.63739
0.39,15817.67,329.69,2024.64,2576.16,324.09,10563.09,2,2023,1,22,1/22/2023 2:00,58.1,58.1,0,18.03,39141.07,40796.827637
0.37,15018.62,581.15,1881.46,2547.31,630.77,9377.93,3,2023,1,22,1/22/2023 3:00,47.9,47.9,0,9.4,38835.83,40661.955627
0.36,14402.6,1175.9,1756.53,2463.41,1081.3,7925.46,4,2023,1,22,1/22/2023 4:00,44.2,36.2,8,8.52,38917.22,40817.816406
0.37,13801.15,1492.87,1584.7,2161.81,1484.59,7077.18,5,2023,1,22,1/22/2023 5:00,39.6,39.6,0,12.58,39547.24,41342.678955
0.35,13534.64,1608.62,1579.69,1810.33,1575.91,6960.09,6,2023,1,22,1/22/2023 6:00,45.0,45.0,0,14.85,40758.31,42558.075317
0.37,13433.25,1868.9,1399.02,1876.84,1502.97,6785.52,7,2023,1,22,1/22/2023 7:00,58.1,58.1,0,14.81,42397.5,44313.669556
98.76,12752.77,2096.59,1394.44,1854.53,1460.12,5947.09,8,2023,1,22,1/22/2023 8:00,44.9,44.9,0,14.58,44090.29,46192.209961
3708.96,11329.61,1954.56,1351.92,1697.13,1224.46,5101.54,9,2023,1,22,1/22/2023 9:00,28.9,28.9,0,13.87,45253.41,47231.499634
8909.3,8612.32,2135.71,1129.47,1075.69,781.56,3489.89,10,2023,1,22,1/22/2023 10:00,28.4,28.4,0,14.62,45153.31,46753.199951
9637.85,7118.06,1609.83,939.0,1018.13,482.21,3068.89,11,2023,1,22,1/22/2023 11:00,25.9,25.9,0,17.17,44181.7,45270.030396
9271.01,5045.57,994.6,841.89,1041.29,192.33,1975.46,12,2023,1,22,1/22/2023 12:00,34.7,34.7,0,19.88,42833.4,43404.259399
9053.76,4875.91,640.38,938.44,949.24,269.97,2077.88,13,2023,1,22,1/22/2023 13:00,26.7,26.7,0,18.35,41884.66,41601.80957
9155.85,5657.98,815.11,944.52,769.04,429.61,2699.7,14,2023,1,22,1/22/2023 14:00,20.1,20.1,0,21.64,40937.21,40103.789612
9486.7,5374.74,994.52,963.94,578.76,462.58,2374.94,15,2023,1,22,1/22/2023 15:00,25.7,25.7,0,19.39,40398.41,39033.60144
9783.35,4107.29,961.59,937.27,358.59,331.71,1518.13,16,2023,1,22,1/22/2023 16:00,23.4,23.4,0,15.9,40313.34,38693.832031
8178.76,2596.85,939.25,672.26,132.54,157.61,695.19,17,2023,1,22,1/22/2023 17:00,19.1,19.1,0,16.68,40458.89,39218.489868
2368.09,1451.01,742.05,428.66,35.26,77.27,167.77,18,2023,1,22,1/22/2023 18:00,13.6,13.6,0,18.12,41749.1,41267.549622
18.59,1768.2,846.82,362.57,171.55,216.89,170.37,19,2023,1,22,1/22/2023 19:00,5.9,5.9,0,16.44,43527.57,44793.150146
0.42,3398.05,1183.77,275.39,537.46,698.23,703.2,20,2023,1,22,1/22/2023 20:00,2.4,2.4,0,14.96,44836.76,46118.849976
0.4,5545.95,1540.02,211.35,718.16,1259.37,1817.05,21,2023,1,22,1/22/2023 21:00,3.0,3.0,0,14.46,45268.7,46434.399414
0.42,11625.05,1919.33,216.51,1868.38,2277.33,5343.5,23,2023,1,22,1/22/2023 23:00,1.2,1.2,0,19.54,44193.79,44754.019653
0.42,14380.47,2016.81,322.01,2258.85,2488.03,7294.77,24,2023,1,22,1/23/2023 0:00,3.4,3.4,0,128.62,42921.71,43337.320251
0.36,16679.24,1948.99,488.05,2651.2,2603.34,8987.66,1,2023,1,23,1/23/2023 1:00,10.1,10.1,0,50.5,42224.05,42712.989075
0.38,17835.01,2118.26,804.46,2679.98,2526.55,9705.76,2,2023,1,23,1/23/2023 2:00,14.6,14.6,0,69.28,42177.19,42455.640503
