MISO Hourly Load, Load Forecast, and Temperatures
Hourly actual load, load forecast, and temperature data for MISO
Source: Load Data from MISO; Temperature Data from NOAA
UTC Timestamp (Interval Ending),Local Timestamp Eastern Standard Time (Interval Beginning),Local Timestamp Eastern Standard Time (Interval Ending),Local Date,Hour Number,MISO Total Actual Load (MW),MISO Total Forecast Load (MW),"LRZ 1 (States: MT, ND, SD, MN, WI, IL)
Balancing Authorities: DPC, GRE, MDU, MP, NSP, OTP, SMP Actual Load (MW)","LRZ 2, 7 (States: WI, MI)
Balancing Authorities: ALTE, MGE, UPPC, WEC, WPS, MIUP, CONS, DECO Actual Load (MW)","LRZ 3, 5 (States: MN, IA, KS, IL)
Balancing Authorities: ALTW, MEC, MPW, AMMO, CWLD Actual Load (MW)","LRZ 4 (States: IL)
Balancing Authorities: AMIL, CWLP, SIPC Actual Load (MW)","LRZ 6 (States: IN)
Balancing Authorities: BREC, CIN, HE, IPL, NIPSCO, SIGE Actual Load (MW)","LRZ 8, 9, 10 (States: MO, TX, MS, AL)
Balancing Authorities: EAI, CLEC, EES, LAFA, LAGN, LEPA, EMBA, SME Actual Load (MW)","LRZ 1 (States: MT, ND, SD, MN, WI, IL)
Balancing Authorities: DPC, GRE, MDU, MP, NSP, OTP, SMP Forecast Load (MW)","LRZ 2, 7 (States: WI, MI)
Balancing Authorities: ALTE, MGE, UPPC, WEC, WPS, MIUP, CONS, DECO Forecast Load (MW)","LRZ 3, 5 (States: MN, IA, KS, IL)
Balancing Authorities: ALTW, MEC, MPW, AMMO, CWLD Forecast Load (MW)","LRZ 4 (States: IL)
Balancing Authorities: AMIL, CWLP, SIPC Forecast Load (MW)","LRZ 6 (States: IN)
Balancing Authorities: BREC, CIN, HE, IPL, NIPSCO, SIGE Forecast Load (MW)","LRZ 8, 9, 10 (States: MO, TX, MS, AL)
Balancing Authorities: EAI, CLEC, EES, LAFA, LAGN, LEPA, EMBA, SME Forecast Load (MW)",Indianapolis Temperature (Fahrenheit),Indianapolis Temperature Observation Time (Eastern Standard),Minneapolis Temperature (Fahrenheit),Minneapolis Temperature Observation Time (Eastern Standard),New Orleans International Airport Temperature (Fahrenheit),New Orleans International Airport Temperature Observation Time (Eastern Standard)
2023-01-01 06:00:00,2023-01-01 00:00:00,2023-01-01 01:00:00,2023-01-01,1,63070.04,62555.0,10296.05,14758.67,8743.95,4484.0,8747.63,16039.74,10446.0,14492.0,8934.0,4550.0,8339.0,15794.0,41.0,2023-01-01 00:54:00,35.1,2023-01-01 00:53:00,55.9,2023-01-01 00:53:00
2023-01-01 07:00:00,2023-01-01 01:00:00,2023-01-01 02:00:00,2023-01-01,2,61633.42,60658.0,10001.69,14287.62,8539.76,4363.72,8653.46,15787.17,10148.0,14035.0,8684.0,4400.0,8141.0,15250.0,39.9,2023-01-01 01:54:00,33.1,2023-01-01 01:53:00,55.0,2023-01-01 01:53:00
2023-01-01 08:00:00,2023-01-01 02:00:00,2023-01-01 03:00:00,2023-01-01,3,60371.54,59459.0,9801.17,13952.18,8382.17,4257.72,8419.03,15559.27,9957.0,13744.0,8552.0,4314.0,8011.0,14881.0,41.0,2023-01-01 02:54:00,30.9,2023-01-01 02:53:00,54.0,2023-01-01 02:53:00
2023-01-01 09:00:00,2023-01-01 03:00:00,2023-01-01 04:00:00,2023-01-01,4,59517.65,59622.0,9683.56,13735.3,8283.29,4179.97,8268.66,15366.87,9861.0,14369.0,8507.0,4270.0,7934.0,14681.0,42.1,2023-01-01 03:54:00,30.0,2023-01-01 03:53:00,54.0,2023-01-01 03:53:00
2023-01-01 10:00:00,2023-01-01 04:00:00,2023-01-01 05:00:00,2023-01-01,5,59121.89,59331.0,9648.4,13604.44,8281.63,4132.23,8235.78,15219.41,9840.0,14277.0,8502.0,4227.0,7887.0,14598.0,43.0,2023-01-01 04:54:00,28.0,2023-01-01 04:53:00,55.0,2023-01-01 04:53:00
2023-01-01 11:00:00,2023-01-01 05:00:00,2023-01-01 06:00:00,2023-01-01,6,59325.45,59631.0,9688.37,13690.14,8352.9,4135.48,8263.48,15195.08,9894.0,14308.0,8589.0,4225.0,7884.0,14731.0,44.1,2023-01-01 05:54:00,28.9,2023-01-01 05:53:00,53.1,2023-01-01 05:53:00
2023-01-01 12:00:00,2023-01-01 06:00:00,2023-01-01 07:00:00,2023-01-01,7,60031.18,60933.0,9824.7,13919.64,8487.96,4183.97,8272.66,15342.25,10039.0,14721.0,8742.0,4290.0,7988.0,15153.0,45.0,2023-01-01 06:54:00,28.9,2023-01-01 06:53:00,53.1,2023-01-01 06:53:00
2023-01-01 13:00:00,2023-01-01 07:00:00,2023-01-01 08:00:00,2023-01-01,8,61287.05,62496.0,9993.56,14330.51,8700.76,4264.26,8387.98,15609.98,10241.0,15205.0,8917.0,4418.0,8190.0,15525.0,45.0,2023-01-01 07:54:00,28.0,2023-01-01 07:53:00,54.0,2023-01-01 07:53:00
2023-01-01 14:00:00,2023-01-01 08:00:00,2023-01-01 09:00:00,2023-01-01,9,62373.8,63230.0,10297.83,14684.37,8903.78,4312.86,8379.29,15795.67,10562.0,14738.0,9076.0,4498.0,8404.0,15952.0,46.9,2023-01-01 08:54:00,28.0,2023-01-01 08:53:00,55.9,2023-01-01 08:53:00
2023-01-01 15:00:00,2023-01-01 09:00:00,2023-01-01 10:00:00,2023-01-01,10,63722.52,64769.0,10497.22,15081.21,8997.31,4354.04,8533.01,16259.73,10815.0,15247.0,9144.0,4554.0,8634.0,16375.0,48.0,2023-01-01 09:54:00,27.0,2023-01-01 09:53:00,59.0,2023-01-01 09:53:00
2023-01-01 16:00:00,2023-01-01 10:00:00,2023-01-01 11:00:00,2023-01-01,11,64565.07,65858.0,10483.42,15494.79,8972.64,4380.76,8687.34,16546.12,10944.0,15718.0,9174.0,4582.0,8802.0,16638.0,50.0,2023-01-01 10:54:00,27.0,2023-01-01 10:53:00,62.1,2023-01-01 10:53:00
2023-01-01 17:00:00,2023-01-01 11:00:00,2023-01-01 12:00:00,2023-01-01,12,64877.43,66325.0,10402.15,15786.33,8886.21,4352.14,8738.86,16711.74,10943.0,16009.0,9171.0,4579.0,8897.0,16726.0,50.0,2023-01-01 11:54:00,26.1,2023-01-01 11:53:00,63.0,2023-01-01 11:53:00
2023-01-01 18:00:00,2023-01-01 12:00:00,2023-01-01 13:00:00,2023-01-01,13,65092.64,66368.0,10342.77,15917.89,8870.38,4346.82,8778.03,16836.75,10934.0,16140.0,9115.0,4585.0,8893.0,16701.0,50.0,2023-01-01 12:54:00,27.0,2023-01-01 12:53:00,66.9,2023-01-01 12:53:00
2023-01-01 19:00:00,2023-01-01 13:00:00,2023-01-01 14:00:00,2023-01-01,14,64870.72,66243.0,10266.47,15912.09,8821.57,4325.54,8666.27,16878.78,10914.0,16135.0,9054.0,4578.0,8826.0,16736.0,51.1,2023-01-01 13:54:00,28.0,2023-01-01 13:53:00,70.0,2023-01-01 13:53:00
2023-01-01 20:00:00,2023-01-01 14:00:00,2023-01-01 15:00:00,2023-01-01,15,64370.37,66100.0,10197.59,15837.47,8727.09,4314.98,8522.66,16770.58,10827.0,16083.0,8959.0,4565.0,8763.0,16903.0,52.0,2023-01-01 14:54:00,30.0,2023-01-01 14:53:00,72.0,2023-01-01 14:53:00
2023-01-01 21:00:00,2023-01-01 15:00:00,2023-01-01 16:00:00,2023-01-01,16,64123.7,66199.0,10278.94,15813.49,8674.03,4299.36,8554.89,16502.99,10838.0,16093.0,8914.0,4561.0,8787.0,17006.0,52.0,2023-01-01 15:54:00,32.0,2023-01-01 15:53:00,73.0,2023-01-01 15:53:00
2023-01-01 22:00:00,2023-01-01 16:00:00,2023-01-01 17:00:00,2023-01-01,17,64770.73,67006.0,10616.36,16038.74,8717.36,4344.12,8560.26,16493.89,11092.0,16372.0,8976.0,4600.0,8917.0,17049.0,52.0,2023-01-01 16:54:00,30.9,2023-01-01 16:53:00,71.1,2023-01-01 16:53:00
2023-01-01 23:00:00,2023-01-01 17:00:00,2023-01-01 18:00:00,2023-01-01,18,66955.47,69356.0,11134.12,16840.25,8967.75,4500.8,8828.79,16683.76,11656.0,17312.0,9256.0,4757.0,9210.0,17165.0,51.1,2023-01-01 17:54:00,28.9,2023-01-01 17:53:00,70.0,2023-01-01 17:53:00
2023-01-02 00:00:00,2023-01-01 18:00:00,2023-01-01 19:00:00,2023-01-01,19,69559.36,71763.0,11750.36,17257.72,9460.84,4701.99,9011.03,17377.42,12326.0,17778.0,9688.0,4941.0,9327.0,17703.0,50.0,2023-01-01 18:54:00,26.1,2023-01-01 18:53:00,68.0,2023-01-01 18:53:00
2023-01-02 01:00:00,2023-01-01 19:00:00,2023-01-01 20:00:00,2023-01-01,20,69451.54,71477.0,11738.01,17030.21,9463.55,4690.42,8869.05,17660.3,12323.0,17444.0,9667.0,4926.0,9227.0,17890.0,50.0,2023-01-01 19:54:00,26.1,2023-01-01 19:53:00,66.9,2023-01-01 19:53:00
2023-01-02 02:00:00,2023-01-01 20:00:00,2023-01-01 21:00:00,2023-01-01,21,68418.83,70206.0,11590.95,16693.33,9346.09,4608.5,8762.06,17417.9,12105.0,17001.0,9553.0,4874.0,9048.0,17625.0,48.9,2023-01-01 20:54:00,25.0,2023-01-01 20:53:00,66.0,2023-01-01 20:53:00
2023-01-02 03:00:00,2023-01-01 21:00:00,2023-01-01 22:00:00,2023-01-01,22,67084.24,68917.0,11386.66,16200.24,9210.87,4517.68,8615.24,17153.55,11790.0,16876.0,9407.0,4765.0,8782.0,17297.0,48.9,2023-01-01 21:54:00,23.0,2023-01-01 21:53:00,66.9,2023-01-01 21:53:00
2023-01-02 04:00:00,2023-01-01 22:00:00,2023-01-01 23:00:00,2023-01-01,23,65147.01,66684.0,11058.17,15560.02,8968.75,4399.8,8358.44,16801.83,11403.0,16234.0,9173.0,4608.0,8447.0,16819.0,48.9,2023-01-01 22:54:00,21.9,2023-01-01 22:53:00,66.9,2023-01-01 22:53:00
2023-01-02 05:00:00,2023-01-01 23:00:00,2023-01-02 00:00:00,2023-01-01,24,62797.33,64126.0,10725.71,14877.79,8597.99,4248.55,8074.9,16272.39,10999.0,15579.0,8814.0,4437.0,8159.0,16138.0,48.9,2023-01-01 23:54:00,23.0,2023-01-01 23:53:00,66.9,2023-01-01 23:53:00
2023-01-02 06:00:00,2023-01-02 00:00:00,2023-01-02 01:00:00,2023-01-02,1,60712.28,62087.0,10391.21,14288.2,8317.13,4100.68,7813.9,15801.16,10458.0,15773.0,8416.0,4205.0,7907.0,15328.0,48.9,2023-01-02 00:54:00,23.0,2023-01-02 00:53:00,68.0,2023-01-02 00:53:00
2023-01-02 07:00:00,2023-01-02 01:00:00,2023-01-02 02:00:00,2023-01-02,2,58984.85,59516.0,10107.8,13886.29,8131.03,3985.6,7707.41,15166.72,10206.0,14311.0,8263.0,4111.0,7780.0,14845.0,48.9,2023-01-02 01:54:00,23.0,2023-01-02 01:53:00,69.1,2023-01-02 01:53:00
2023-01-02 08:00:00,2023-01-02 02:00:00,2023-01-02 03:00:00,2023-01-02,3,57932.23,58700.0,9949.79,13640.48,7961.42,3908.96,7600.07,14871.51,10047.0,14151.0,8177.0,4063.0,7740.0,14522.0,48.9,2023-01-02 02:54:00,23.0,2023-01-02 02:53:00,70.0,2023-01-02 02:53:00
2023-01-02 09:00:00,2023-01-02 03:00:00,2023-01-02 04:00:00,2023-01-02,4,57511.44,58979.0,9904.4,13569.34,7951.2,3871.01,7571.84,14643.65,9984.0,14549.0,8187.0,4031.0,7803.0,14425.0,48.9,2023-01-02 03:54:00,23.0,2023-01-02 03:53:00,69.1,2023-01-02 03:53:00
2023-01-02 10:00:00,2023-01-02 04:00:00,2023-01-02 05:00:00,2023-01-02,5,57675.1,60047.0,9934.09,13705.83,8013.08,3867.98,7597.01,14557.11,10006.0,15342.0,8248.0,4052.0,7967.0,14432.0,48.9,2023-01-02 04:54:00,23.0,2023-01-02 04:53:00,68.0,2023-01-02 04:53:00
