,UTC Timestamp (Interval Ending),Local Timestamp Eastern Standard Time (Interval Beginning),Local Timestamp Eastern Standard Time (Interval Ending),Local Date,Hour Number,MISO Total Total Generation (MW),MISO Total Solar Generation (MW),MISO Total Storage Generation (MW),MISO Total Wind Generation (MW),MISO Total Actual Load (MW),MISO Total Forecast Load (MW)
0,2023-01-01 06:00:00,2023-01-01 00:00:00,2023-01-01 01:00:00,2023-01-01,1,60499.7,0.0,0.0,9431.5,63070.04,62555.0
1,2023-01-01 07:00:00,2023-01-01 01:00:00,2023-01-01 02:00:00,2023-01-01,2,57909.8,0.0,0.0,9848.1,61633.42,60658.0
2,2023-01-01 08:00:00,2023-01-01 02:00:00,2023-01-01 03:00:00,2023-01-01,3,56790.3,0.0,0.0,9535.9,60371.54,59459.0
3,2023-01-01 09:00:00,2023-01-01 03:00:00,2023-01-01 04:00:00,2023-01-01,4,55732.0,0.0,0.0,9732.0,59517.65,59622.0
4,2023-01-01 10:00:00,2023-01-01 04:00:00,2023-01-01 05:00:00,2023-01-01,5,55512.8,0.0,0.0,10310.8,59121.89,59331.0
5,2023-01-01 11:00:00,2023-01-01 05:00:00,2023-01-01 06:00:00,2023-01-01,6,55982.7,0.0,0.0,10223.8,59325.45,59631.0
6,2023-01-01 12:00:00,2023-01-01 06:00:00,2023-01-01 07:00:00,2023-01-01,7,56608.2,0.0,0.0,10092.0,60031.18,60933.0
7,2023-01-01 13:00:00,2023-01-01 07:00:00,2023-01-01 08:00:00,2023-01-01,8,57988.2,0.0,0.0,8992.2,61287.05,62496.0
8,2023-01-01 14:00:00,2023-01-01 08:00:00,2023-01-01 09:00:00,2023-01-01,9,58760.3,10.4,0.0,7670.5,62373.8,63230.0
9,2023-01-01 15:00:00,2023-01-01 09:00:00,2023-01-01 10:00:00,2023-01-01,10,59778.9,175.4,0.0,6513.7,63722.52,64769.0
10,2023-01-01 16:00:00,2023-01-01 10:00:00,2023-01-01 11:00:00,2023-01-01,11,59978.1,453.5,0.0,5324.4,64565.07,65858.0
11,2023-01-01 17:00:00,2023-01-01 11:00:00,2023-01-01 12:00:00,2023-01-01,12,59517.1,740.9,0.0,4463.9,64877.43,66325.0
12,2023-01-01 18:00:00,2023-01-01 12:00:00,2023-01-01 13:00:00,2023-01-01,13,59317.9,836.2,0.0,4231.1,65092.64,66368.0
13,2023-01-01 19:00:00,2023-01-01 13:00:00,2023-01-01 14:00:00,2023-01-01,14,59190.5,842.8,0.0,3856.6,64870.72,66243.0
14,2023-01-01 20:00:00,2023-01-01 14:00:00,2023-01-01 15:00:00,2023-01-01,15,59280.4,769.2,0.0,3190.8,64370.37,66100.0
15,2023-01-01 21:00:00,2023-01-01 15:00:00,2023-01-01 16:00:00,2023-01-01,16,59185.3,645.1,0.0,2949.9,64123.7,66199.0
16,2023-01-01 22:00:00,2023-01-01 16:00:00,2023-01-01 17:00:00,2023-01-01,17,59413.7,315.6,0.0,2996.6,64770.73,67006.0
17,2023-01-01 23:00:00,2023-01-01 17:00:00,2023-01-01 18:00:00,2023-01-01,18,61894.7,37.4,0.0,3236.2,66955.47,69356.0
18,2023-01-02 00:00:00,2023-01-01 18:00:00,2023-01-01 19:00:00,2023-01-01,19,64323.0,0.4,0.0,3651.8,69559.36,71763.0
19,2023-01-02 01:00:00,2023-01-01 19:00:00,2023-01-01 20:00:00,2023-01-01,20,64444.4,0.2,0.0,3566.6,69451.54,71477.0
20,2023-01-02 02:00:00,2023-01-01 20:00:00,2023-01-01 21:00:00,2023-01-01,21,63516.4,0.2,0.0,3518.6,68418.83,70206.0
21,2023-01-02 03:00:00,2023-01-01 21:00:00,2023-01-01 22:00:00,2023-01-01,22,61773.5,0.2,0.0,3104.6,67084.24,68917.0
22,2023-01-02 04:00:00,2023-01-01 22:00:00,2023-01-01 23:00:00,2023-01-01,23,59696.9,0.0,0.0,3244.3,65147.01,66684.0
23,2023-01-02 05:00:00,2023-01-01 23:00:00,2023-01-02 00:00:00,2023-01-01,24,58546.9,0.0,0.0,3910.5,62797.33,64126.0
24,2023-01-02 06:00:00,2023-01-02 00:00:00,2023-01-02 01:00:00,2023-01-02,1,56904.8,0.0,0.0,4502.5,60712.28,62087.0
25,2023-01-02 07:00:00,2023-01-02 01:00:00,2023-01-02 02:00:00,2023-01-02,2,54740.4,0.0,0.0,4839.8,58984.85,59516.0
26,2023-01-02 08:00:00,2023-01-02 02:00:00,2023-01-02 03:00:00,2023-01-02,3,53570.4,0.0,0.0,5318.0,57932.23,58700.0
27,2023-01-02 09:00:00,2023-01-02 03:00:00,2023-01-02 04:00:00,2023-01-02,4,53092.7,0.0,0.0,5715.0,57511.44,58979.0
28,2023-01-02 10:00:00,2023-01-02 04:00:00,2023-01-02 05:00:00,2023-01-02,5,53227.6,0.0,0.0,5148.1,57675.1,60047.0
29,2023-01-02 11:00:00,2023-01-02 05:00:00,2023-01-02 06:00:00,2023-01-02,6,54439.9,0.0,0.0,4322.9,58770.78,60877.0
30,2023-01-02 12:00:00,2023-01-02 06:00:00,2023-01-02 07:00:00,2023-01-02,7,56308.1,0.0,0.0,3661.0,60705.4,64484.0
31,2023-01-02 13:00:00,2023-01-02 07:00:00,2023-01-02 08:00:00,2023-01-02,8,58681.2,0.0,0.0,4167.8,63284.39,69256.0
32,2023-01-02 14:00:00,2023-01-02 08:00:00,2023-01-02 09:00:00,2023-01-02,9,60483.6,3.5,0.0,5105.1,65204.24,71946.0
33,2023-01-02 15:00:00,2023-01-02 09:00:00,2023-01-02 10:00:00,2023-01-02,10,62253.7,74.8,0.0,6102.4,67039.22,73113.0
34,2023-01-02 16:00:00,2023-01-02 10:00:00,2023-01-02 11:00:00,2023-01-02,11,63389.8,203.4,0.0,5759.4,69056.39,73788.0
35,2023-01-02 17:00:00,2023-01-02 11:00:00,2023-01-02 12:00:00,2023-01-02,12,64296.0,319.7,0.0,4650.8,70248.74,74119.0
36,2023-01-02 18:00:00,2023-01-02 12:00:00,2023-01-02 13:00:00,2023-01-02,13,65485.4,425.6,0.0,3568.6,70967.51,74193.0
37,2023-01-02 19:00:00,2023-01-02 13:00:00,2023-01-02 14:00:00,2023-01-02,14,65184.0,466.1,0.0,3497.5,71054.17,73989.0
38,2023-01-02 20:00:00,2023-01-02 14:00:00,2023-01-02 15:00:00,2023-01-02,15,65500.7,372.2,0.0,4544.6,71104.51,73646.0
39,2023-01-02 21:00:00,2023-01-02 15:00:00,2023-01-02 16:00:00,2023-01-02,16,65368.3,252.1,0.0,6168.4,71173.8,73314.0
40,2023-01-02 22:00:00,2023-01-02 16:00:00,2023-01-02 17:00:00,2023-01-02,17,67652.4,139.4,0.0,8026.7,71821.25,73539.0
41,2023-01-02 23:00:00,2023-01-02 17:00:00,2023-01-02 18:00:00,2023-01-02,18,70709.7,25.4,1.8,10271.4,74201.54,75204.0
42,2023-01-03 00:00:00,2023-01-02 18:00:00,2023-01-02 19:00:00,2023-01-02,19,72798.2,0.3,2.0,11227.2,76016.53,76944.0
43,2023-01-03 01:00:00,2023-01-02 19:00:00,2023-01-02 20:00:00,2023-01-02,20,71995.3,0.1,2.0,11186.9,75483.74,76318.0
44,2023-01-03 02:00:00,2023-01-02 20:00:00,2023-01-02 21:00:00,2023-01-02,21,71284.0,0.1,2.0,11765.4,74212.57,74656.0
45,2023-01-03 03:00:00,2023-01-02 21:00:00,2023-01-02 22:00:00,2023-01-02,22,69503.2,0.1,2.0,13367.5,72288.85,72596.0
46,2023-01-03 04:00:00,2023-01-02 22:00:00,2023-01-02 23:00:00,2023-01-02,23,67634.3,0.2,2.0,14982.8,69933.28,69769.0
47,2023-01-03 05:00:00,2023-01-02 23:00:00,2023-01-03 00:00:00,2023-01-02,24,65814.9,0.1,2.0,15343.0,67427.77,66710.0
48,2023-01-03 06:00:00,2023-01-03 00:00:00,2023-01-03 01:00:00,2023-01-03,1,64018.0,0.4,1.2,14845.7,64847.63,64728.0
49,2023-01-03 07:00:00,2023-01-03 01:00:00,2023-01-03 02:00:00,2023-01-03,2,61414.8,0.4,1.2,14783.9,63045.12,62816.0
50,2023-01-03 08:00:00,2023-01-03 02:00:00,2023-01-03 03:00:00,2023-01-03,3,59668.9,0.2,0.0,15300.9,61883.32,61619.0
51,2023-01-03 09:00:00,2023-01-03 03:00:00,2023-01-03 04:00:00,2023-01-03,4,59143.8,0.1,0.0,15243.8,61406.27,61070.0
52,2023-01-03 10:00:00,2023-01-03 04:00:00,2023-01-03 05:00:00,2023-01-03,5,58865.0,0.0,0.0,15686.0,61747.8,61044.0
53,2023-01-03 11:00:00,2023-01-03 05:00:00,2023-01-03 06:00:00,2023-01-03,6,60062.1,0.0,0.0,15910.4,63413.44,62139.0
54,2023-01-03 12:00:00,2023-01-03 06:00:00,2023-01-03 07:00:00,2023-01-03,7,63377.7,0.0,0.0,15127.0,67137.28,64876.0
55,2023-01-03 13:00:00,2023-01-03 07:00:00,2023-01-03 08:00:00,2023-01-03,8,67544.6,0.0,0.0,14165.8,71385.37,68765.0
56,2023-01-03 14:00:00,2023-01-03 08:00:00,2023-01-03 09:00:00,2023-01-03,9,70268.3,1.4,0.0,13597.9,74223.31,71499.0
57,2023-01-03 15:00:00,2023-01-03 09:00:00,2023-01-03 10:00:00,2023-01-03,10,71278.1,38.1,0.8,13215.7,75309.41,73324.0
58,2023-01-03 16:00:00,2023-01-03 10:00:00,2023-01-03 11:00:00,2023-01-03,11,72202.1,128.5,0.0,12460.4,76145.04,74461.0
59,2023-01-03 17:00:00,2023-01-03 11:00:00,2023-01-03 12:00:00,2023-01-03,12,72355.0,229.1,0.0,12584.6,76683.63,74805.0
60,2023-01-03 18:00:00,2023-01-03 12:00:00,2023-01-03 13:00:00,2023-01-03,13,72819.8,369.7,0.0,13525.0,77115.7,74403.0
61,2023-01-03 19:00:00,2023-01-03 13:00:00,2023-01-03 14:00:00,2023-01-03,14,73178.6,403.7,2.8,13513.6,77506.71,73918.0
62,2023-01-03 20:00:00,2023-01-03 14:00:00,2023-01-03 15:00:00,2023-01-03,15,73259.6,414.3,1.2,12523.9,77300.66,73428.0
63,2023-01-03 21:00:00,2023-01-03 15:00:00,2023-01-03 16:00:00,2023-01-03,16,72324.5,430.3,0.0,12390.7,76591.29,72894.0
64,2023-01-03 22:00:00,2023-01-03 16:00:00,2023-01-03 17:00:00,2023-01-03,17,72119.5,269.3,0.0,12417.1,76145.9,72994.0
65,2023-01-03 23:00:00,2023-01-03 17:00:00,2023-01-03 18:00:00,2023-01-03,18,73402.6,57.5,1.4,13154.7,77175.58,74744.0
66,2023-01-04 00:00:00,2023-01-03 18:00:00,2023-01-03 19:00:00,2023-01-03,19,75856.6,0.5,0.0,13628.0,79027.62,76683.0
